Latitude	Long 	YSIFNU
38.09094436	-122.0675315	22.36941139
38.09094846	-122.0675273	22.34787057
38.09095269	-122.0675241	21.19109241
38.0909559	-122.0675215	22.03790704
38.09095846	-122.0675182	22.48747545
38.09096179	-122.0675158	22.43215652
38.09096423	-122.0675123	22.02942982
38.09096679	-122.0675073	21.61541421
38.09097013	-122.067505	21.56601491
38.09097256	-122.0675014	21.6250773
38.09097513	-122.0674974	21.52753346
38.09097756	-122.0674949	21.49408551
38.09097923	-122.0674906	21.68346779
38.09098179	-122.0674874	20.36719998
38.09098423	-122.0674849	23.9552443
38.0909859	-122.0674815	24.81831848
38.09098846	-122.0674782	22.47179665
38.0909909	-122.0674749	22.19434809
38.09099256	-122.0674706	22.80974699
38.09099423	-122.0674656	22.89848064
38.0909959	-122.0674624	22.57620899
38.09099667	-122.067459	22.59640731
38.09099846	-122.0674531	22.57807071
38.09100179	-122.0674473	22.36262769
38.09100512	-122.0674414	22.15281573
38.09100846	-122.0674348	22.12893569
38.09101	-122.0674299	22.16174256
38.09101268	-122.0674256	24.12326756
38.09101589	-122.0674198	22.19014292
38.09101756	-122.067414	22.13020869
38.09101923	-122.067409	21.50883275
38.09102089	-122.067404	21.66941522
38.09102346	-122.0673999	22.38770993
38.09102679	-122.0673965	21.83101375
38.09103012	-122.0673923	21.79541441
38.09103345	-122.0673873	22.25588518
38.091035	-122.0673823	22.13156016
38.09103679	-122.0673782	21.64792758
38.09103923	-122.0673758	21.21354837
38.09104179	-122.0673732	21.41442041
38.09104512	-122.067369	21.40098263
38.09104935	-122.0673667	21.32273908
38.09105435	-122.067364	21.33239764
38.09106024	-122.0673572	21.24276678
38.09106512	-122.0673498	21.20250682
38.09106935	-122.0673431	21.16997291
38.09107256	-122.0673382	21.1073567
38.09107333	-122.0673349	21.09
38.09107512	-122.0673307	21.00697457
38.09107756	-122.0673248	20.73803314
38.09108012	-122.067319	20.73575062
38.09108345	-122.0673158	20.81312132
38.09108678	-122.0673123	19.17268621
38.09109101	-122.0673073	27.59124833
38.09109512	-122.0673032	20.15863665
38.09109845	-122.067299	21.81059717
38.09110089	-122.067294	20.39036007
38.09110167	-122.0672917	20.32842967
38.09110434	-122.0672881	20.9257909
38.09110756	-122.0672832	20.64510299
38.09111012	-122.0672799	20.7921957
38.09111345	-122.0672766	21.12493277
38.09111589	-122.0672732	21.34703973
38.09111756	-122.067269	21.49853543
38.09112101	-122.067264	21.38244166
38.09112422	-122.0672581	21.17662366
38.09112589	-122.0672523	21.16896723
38.09112756	-122.0672464	21.18
38.09112744	-122.0672407	21.19564144
38.09112756	-122.0672357	21.17649705
38.09113011	-122.0672316	21.20924007
38.09113256	-122.0672264	21.3693706
38.09113422	-122.0672198	21.38637407
38.09113589	-122.0672131	21.40366702
38.09113756	-122.0672073	21.71029894
38.09113833	-122.0672041	21.61584137
38.09113833	-122.0672007	21.5541402
38.091141	-122.0671966	21.36729728
38.09114333	-122.0671914	21.24838525
38.09114422	-122.0671874	21.37347605
38.091145	-122.0671831	21.57767427
38.09114767	-122.0671764	21.69198368
